account_id,customer_id,country_code,legal_entity,account_type,product_code,currency_code,current_balance,available_balance,credit_limit,minimum_balance,interest_rate,account_status,freeze_reason,branch_code,product_name,open_date,close_date,last_activity_date,cycle_day,is_deleted,created_at,updated_at
ACC_0000001,CUST_000001,SG,SG_BANK,credit_card,CC_VISA_CLASSIC,SGD,8484.95,13515.05,22000.0,1100.0,0.24,active,,BR125,Visa Classic Card,2023-02-21,,2025-11-10,5,0,2023-02-21 09:00:00,2025-12-31 23:59:59
ACC_0000002,CUST_000002,SG,SG_BANK,credit_card,CC_MC_WORLD,SGD,121176.43,65623.57,186800.0,9340.0,0.15,active,,BR477,Mastercard World,2022-08-10,,2025-12-01,6,0,2022-08-10 09:00:00,2025-12-31 23:59:59
ACC_0000003,CUST_000003,SG,SG_BANK,credit_card,CC_VISA_CLASSIC,SGD,5381.02,12218.98,17600.0,880.0,0.24,active,,BR695,Visa Classic Card,2022-09-23,,2025-12-17,26,0,2022-09-23 09:00:00,2025-12-31 23:59:59
ACC_0000004,CUST_000003,SG,SG_BANK,credit_card,CC_MC_STANDARD,SGD,11939.64,12360.36,24300.0,1215.0,0.22,active,,BR329,Mastercard Standard,2021-07-25,,2025-12-03,3,0,2021-07-25 09:00:00,2025-12-31 23:59:59
ACC_0000005,CUST_000004,SG,SG_BANK,credit_card,CC_MC_STANDARD,SGD,21106.46,24393.54,45500.0,2275.0,0.22,active,,BR551,Mastercard Standard,2020-10-16,,2025-12-17,17,0,2020-10-16 09:00:00,2025-12-31 23:59:59
ACC_0000006,CUST_000005,SG,SG_BANK,credit_card,CC_VISA_CLASSIC,SGD,10055.85,17544.15,27600.0,1380.0,0.24,active,,BR809,Visa Classic Card,2022-04-15,,2025-11-24,4,0,2022-04-15 09:00:00,2025-12-31 23:59:59
ACC_0000007,CUST_000006,SG,SG_BANK,credit_card,CC_MC_STANDARD,SGD,5954.83,6445.17,12400.0,620.0,0.22,active,,BR559,Mastercard Standard,2020-06-21,,2025-11-20,8,0,2020-06-21 09:00:00,2025-12-31 23:59:59
ACC_0000008,CUST_000006,SG,SG_BANK,credit_card,CC_MC_STANDARD,SGD,13065.25,8234.75,21300.0,1065.0,0.22,active,,BR781,Mastercard Standard,2021-09-08,,2025-11-22,19,0,2021-09-08 09:00:00,2025-12-31 23:59:59
ACC_0000009,CUST_000007,SG,SG_BANK,credit_card,CC_MC_STANDARD,SGD,7769.46,22230.54,30000.0,1500.0,0.22,active,,BR747,Mastercard Standard,2023-07-17,,2025-10-19,16,0,2023-07-17 09:00:00,2025-12-31 23:59:59
ACC_0000010,CUST_000007,SG,SG_BANK,credit_card,CC_VISA_CLASSIC,SGD,9764.54,37235.46,47000.0,2350.0,0.24,active,,BR860,Visa Classic Card,2020-07-09,,2025-12-23,16,0,2020-07-09 09:00:00,2025-12-31 23:59:59
ACC_0000011,CUST_000008,SG,SG_BANK,credit_card,CC_VISA_CLASSIC,SGD,4563.83,11536.17,16100.0,805.0,0.24,active,,BR462,Visa Classic Card,2020-03-17,,2025-12-13,14,0,2020-03-17 09:00:00,2025-12-31 23:59:59
ACC_0000012,CUST_000008,SG,SG_BANK,credit_card,CC_VISA_CLASSIC,SGD,10711.96,22688.04,33400.0,1670.0,0.24,active,,BR731,Visa Classic Card,2022-02-11,,2025-11-19,20,0,2022-02-11 09:00:00,2025-12-31 23:59:59
ACC_0000013,CUST_000009,SG,SG_BANK,credit_card,CC_VISA_CLASSIC,SGD,8342.28,13757.72,22100.0,1105.0,0.24,active,,BR546,Visa Classic Card,2023-07-21,,2025-11-24,27,0,2023-07-21 09:00:00,2025-12-31 23:59:59
